cell_id,latitude,longitude,solar_score,specific_yield_kwh_kwp,reference_yield_800w_kwh,reference_energy_value_eur,sample_bucket,sample_grid_m,pvgis_version
CRS3035RES100mN3094600E4112200,50.9251188,7.0301607,58,744.6,595.7,141.77,E4112000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094700E4116000,50.9273906,7.0841133,52,732.2,585.7,139.41,E4116000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3094800E4116600,50.9285033,7.0925852,52,732.2,585.7,139.41,E4116000N3094000,1000,PVGIS 5.3
CRS3035RES100mN3095300E4101200,50.9272861,6.8734131,72,761.3,609.0,144.95,E4101000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095300E4113900,50.9320230,7.0539237,58,744.7,595.8,141.79,E4113000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095400E4114200,50.9330296,7.0581313,52,732.4,585.9,139.45,E4114000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095500E4099600,50.9284653,6.8505523,73,761.5,609.2,144.99,E4099000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095800E4114300,50.9366581,7.0593254,52,732.4,585.9,139.45,E4114000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095900E4100700,50.9324817,6.8659437,73,761.5,609.2,144.98,E4100000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3095900E4115800,50.9380961,7.0805935,52,732.9,586.3,139.54,E4115000N3095000,1000,PVGIS 5.3
CRS3035RES100mN3096100E4100000,50.9340077,6.8558727,73,761.7,609.4,145.03,E4100000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4094600,50.9327946,6.7790579,73,762.3,609.8,145.14,E4094000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4100100,50.9349443,6.8572333,73,761.7,609.4,145.03,E4100000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4115200,50.9405749,7.0718936,52,733.0,586.4,139.56,E4115000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096200E4115900,50.9408262,7.0818459,52,733.0,586.4,139.56,E4115000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096400E4094800,50.9346695,6.7817762,73,762.3,609.8,145.14,E4094000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096500E4095100,50.9356859,6.7859782,74,763.1,610.5,145.3,E4095000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096500E4102800,50.9386743,6.8954327,72,761.3,609.1,144.96,E4102000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096600E4100300,50.9386133,6.8598334,73,761.7,609.4,145.03,E4100000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096600E4114000,50.9437343,7.0546050,52,732.6,586.1,139.49,E4114000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096600E4115300,50.9442032,7.0730890,52,733.0,586.4,139.56,E4115000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096600E4116200,50.9445261,7.0858858,51,731.7,585.4,139.32,E4116000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096800E4095000,50.9383402,6.7843703,74,763.1,610.5,145.3,E4095000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096800E4098600,50.9397509,6.8355451,68,756.4,605.1,144.01,E4098000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3096800E4114100,50.9455666,7.0559130,52,732.6,586.1,139.49,E4114000N3096000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4098400,50.9414691,6.8325795,71,760.5,608.4,144.79,E4098000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4099700,50.9419734,6.8510607,71,760.4,608.4,144.79,E4099000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4100000,50.9420894,6.8553256,73,761.9,609.6,145.07,E4100000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4118400,50.9489019,7.1169446,41,712.4,569.9,135.64,E4118000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097000E4118500,50.9489373,7.1183667,41,712.4,569.9,135.64,E4118000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097200E4117500,50.9503786,7.1040344,41,712.5,570.0,135.65,E4117000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4117000,50.9519967,7.0968118,41,712.5,570.0,135.65,E4117000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4117500,50.9521748,7.1039224,41,712.5,570.0,135.65,E4117000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097400E4118800,50.9526359,7.1224102,41,712.4,569.9,135.64,E4118000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097500E4097500,50.9456079,6.8194776,71,760.5,608.4,144.79,E4097000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097700E4100300,50.9484909,6.8591655,73,761.9,609.6,145.07,E4100000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097800E4097500,50.9483017,6.8192931,71,760.5,608.4,144.79,E4097000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097800E4100400,50.9494275,6.8605266,73,761.9,609.6,145.07,E4100000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3097800E4121100,50.9570369,7.1549000,42,713.4,570.7,135.84,E4121000N3097000,1000,PVGIS 5.3
CRS3035RES100mN3098000E4120800,50.9587282,7.1505229,40,711.3,569.0,135.42,E4120000N3098000,1000,PVGIS 5.3
