cell_id,name,latitude,longitude,potential_score,housing_density_score,building_fit_score,solar_score,market_gap_score,campaign_score
CRS3035RES100mN3096700E4111600,Raster CRS3035RES100mN3096700E4111600,50.9437589,7.020424,78,100,94,59,50,50
CRS3035RES100mN3093900E4103700,Raster CRS3035RES100mN3093900E4103700,50.9156689,6.9097801,78,97,96,61,50,50
CRS3035RES100mN3099200E4106700,Raster CRS3035RES100mN3099200E4106700,50.9643948,6.949283,78,100,97,57,50,50
CRS3035RES100mN3096700E4110300,Raster CRS3035RES100mN3096700E4110300,50.9432816,7.0019406,78,100,95,59,50,50
CRS3035RES100mN3093400E4106000,Raster CRS3035RES100mN3093400E4106000,50.9120472,6.9427561,78,100,92,63,50,50
CRS3035RES100mN3095400E4105800,Raster CRS3035RES100mN3095400E4105800,50.9299324,6.9387318,78,100,91,63,50,50
CRS3035RES100mN3093800E4104900,Raster CRS3035RES100mN3093800E4104900,50.9152251,6.9268901,78,97,95,63,50,50
CRS3035RES100mN3098000E4107300,Raster CRS3035RES100mN3098000E4107300,50.9538431,6.9585235,78,100,99,54,50,50
CRS3035RES100mN3094900E4106900,Raster CRS3035RES100mN3094900E4106900,50.9258549,6.9546609,78,100,93,59,50,50
CRS3035RES100mN3094000E4105100,Raster CRS3035RES100mN3094000E4105100,50.9170966,6.9296133,78,92,100,63,50,50
CRS3035RES100mN3096500E4110400,Raster CRS3035RES100mN3096500E4110400,50.9415223,7.0034783,78,100,96,59,50,50
CRS3035RES100mN3095200E4109900,Raster CRS3035RES100mN3095200E4109900,50.9296634,6.9971244,78,100,93,60,50,50
CRS3035RES100mN3096300E4111700,Raster CRS3035RES100mN3096300E4111700,50.9402032,7.0220761,78,100,94,59,50,50
CRS3035RES100mN3094100E4107500,Raster CRS3035RES100mN3094100E4107500,50.9188947,6.9636577,78,100,95,59,50,50
CRS3035RES100mN3097200E4102000,Raster CRS3035RES100mN3097200E4102000,50.9446545,6.8836385,78,96,88,73,50,50
CRS3035RES100mN3098600E4104500,Raster CRS3035RES100mN3098600E4104500,50.958178,6.9183485,78,100,96,57,50,50
CRS3035RES100mN3098700E4108400,Raster CRS3035RES100mN3098700E4108400,50.9605393,6.9737568,78,100,97,54,50,50
CRS3035RES100mN3098900E4107300,Raster CRS3035RES100mN3098900E4107300,50.9619253,6.957994,78,100,99,54,50,50
CRS3035RES100mN3094700E4106300,Raster CRS3035RES100mN3094700E4106300,50.923834,6.9462516,78,100,95,59,50,50
CRS3035RES100mN3096100E4108500,Raster CRS3035RES100mN3096100E4108500,50.9372276,6.9766996,78,100,94,60,50,50
CRS3035RES100mN3095800E4107400,Raster CRS3035RES100mN3095800E4107400,50.9341239,6.9612385,78,97,98,60,50,50
CRS3035RES100mN3097100E4106000,Raster CRS3035RES100mN3097100E4106000,50.9452738,6.9405692,78,100,91,64,50,50
CRS3035RES100mN3098700E4107100,Raster CRS3035RES100mN3098700E4107100,50.9600545,6.9552671,78,100,97,54,50,50
CRS3035RES100mN3097100E4104800,Raster CRS3035RES100mN3097100E4104800,50.9448215,6.9235077,78,95,95,64,50,50
CRS3035RES100mN3099100E4106900,Raster CRS3035RES100mN3099100E4106900,50.9635717,6.9521867,78,100,98,57,50,50
CRS3035RES100mN3094400E4106700,Raster CRS3035RES100mN3094400E4106700,50.9212899,6.952113,78,100,96,59,50,50
CRS3035RES100mN3096800E4110300,Raster CRS3035RES100mN3096800E4110300,50.9441796,7.0018827,78,100,95,59,50,50
CRS3035RES100mN3095600E4106200,Raster CRS3035RES100mN3095600E4106200,50.9318787,6.9442991,78,94,98,63,50,50
CRS3035RES100mN3095800E4100000,Raster CRS3035RES100mN3095800E4100000,50.9313138,6.856055,78,89,95,73,50,50
CRS3035RES100mN3100300E4098600,Raster CRS3035RES100mN3100300E4098600,50.9711791,6.8334021,78,100,81,75,50,50
CRS3035RES100mN3094000E4105000,Raster CRS3035RES100mN3094000E4105000,50.9170589,6.9281923,78,94,97,63,50,50
CRS3035RES100mN3098400E4104700,Raster CRS3035RES100mN3098400E4104700,50.9564577,6.921312,78,100,95,57,50,50
CRS3035RES100mN3098400E4103700,Raster CRS3035RES100mN3098400E4103700,50.9560786,6.9070908,78,100,96,57,50,50
CRS3035RES100mN3096400E4110400,Raster CRS3035RES100mN3096400E4110400,50.9406242,7.0035362,78,100,94,59,50,50
CRS3035RES100mN3093400E4104600,Raster CRS3035RES100mN3093400E4104600,50.9115197,6.9228653,78,100,92,63,50,50
CRS3035RES100mN3095700E4108600,Raster CRS3035RES100mN3095700E4108600,50.9336726,6.9783548,78,100,95,60,50,50
CRS3035RES100mN3097000E4104500,Raster CRS3035RES100mN3097000E4104500,50.9438101,6.919302,78,94,100,64,50,50
CRS3035RES100mN3094100E4104800,Raster CRS3035RES100mN3094100E4104800,50.9178814,6.9252911,78,100,92,63,50,50
CRS3035RES100mN3097200E4104900,Raster CRS3035RES100mN3097200E4104900,50.9457573,6.92487,78,100,92,64,50,50
